"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C205","CAPC1005N","3500mil","358.268mil","3500mil","358.268mil","3500mil","381.89mil","T","270.00","10nF, X7R, 50V 10%"
"C204","CAPC1005N","4007.874mil","326.772mil","4007.874mil","326.772mil","3984.252mil","326.772mil","T","360.00","0.1uF, 25V, X5R"
"C203","CAPC1005N","2940.945mil","390.748mil","2940.945mil","390.748mil","2940.945mil","414.37mil","B","270.00","0.1uF, 25V, X5R"
"C202","CAPC1005N","2759.843mil","1287.401mil","2759.843mil","1287.401mil","2759.843mil","1311.024mil","T","270.00","0.1uF, 25V, X5R"
"C201","CAPC3225N","2720.472mil","1051.181mil","2720.472mil","1051.181mil","2720.472mil","994.095mil","T","90.00","22uF, 25V, X5R, 10%"
"C200","CAPC1005N","2854.331mil","1385.827mil","2854.331mil","1385.827mil","2877.953mil","1385.827mil","T","180.00","DNP"
"C116","CAPC0603N_B","3921.26mil","1330.709mil","3921.26mil","1330.709mil","3933.071mil","1330.709mil","T","180.00","0.1uF, 6.3V, X5R"
"C115","CAPC0603N_B","1677.165mil","1259.842mil","1677.165mil","1259.842mil","1677.165mil","1248.032mil","T","90.00","0.1uF, 6.3V, X5R"
"C114","CAPC0603N_B","3701.101mil","837.893mil","3701.101mil","837.893mil","3701.101mil","849.704mil","T","270.00","0.1uF, 6.3V, X5R"
"C113","CAPC1608N","3811.024mil","791.339mil","3811.024mil","791.339mil","3779.528mil","791.339mil","T","360.00","1.0uF, 25V, 20% X5R"
"C112","CAPC1005N","3767.716mil","846.457mil","3767.716mil","846.457mil","3744.095mil","846.457mil","T","360.00","10nF, X7R, 50V 10%"
"C111","CAPC1005N","3691.929mil","679.134mil","3691.929mil","679.134mil","3715.551mil","679.134mil","T","180.00","6.8pF, NP0"
"C110","CAPC1005N","3582.677mil","679.134mil","3582.677mil","679.134mil","3559.055mil","679.134mil","T","360.00","6.8pF, NP0"
"C109","CAPC0603N_B","3567.475mil","854.596mil","3567.475mil","854.596mil","3579.286mil","854.596mil","T","180.00","0.1uF, 6.3V, X5R"
"C108","TAIYO_YUDEN_PAS414HR-VA5R","3330.709mil","1102.362mil","3330.709mil","1098.425mil","3330.709mil","972.441mil","T","90.00","0.06F 3.3V coin supercap"
"C104","CAPC0603N_B","3917.323mil","1177.165mil","3917.323mil","1177.165mil","3917.323mil","1188.976mil","T","270.00","0.1uF, 6.3V, X5R"
"C103","CAPC0603N_B","3589.746mil","1300.018mil","3589.746mil","1300.018mil","3577.935mil","1300.018mil","T","360.00","0.1uF, 6.3V, X5R"
"C102","CAPC0603N_B","3472.823mil","971.519mil","3472.823mil","971.52mil","3472.823mil","959.709mil","T","90.00","0.1uF, 6.3V, X5R"
"C101","CAPC1608N","2405.512mil","877.953mil","2405.512mil","877.953mil","2405.512mil","909.449mil","T","270.00","2.2uF, 25V, 10% X5R"
"C100","CAPC1005N","2641.732mil","1228.347mil","2641.732mil","1228.347mil","2665.354mil","1228.347mil","T","180.00","10nF, X7R, 50V 10%"
"J300","TP_HOLE","759.842mil","1192.913mil","759.842mil","1192.913mil","759.842mil","1192.913mil","T","90.00","test point (DNP)"
"J301","TP_HOLE","661.417mil","1192.913mil","661.417mil","1192.913mil","661.417mil","1192.913mil","T","90.00","test point (DNP)"
"L200B","COILCRAFT_XAL7030","2618.11mil","448.819mil","2618.11mil","448.819mil","2618.11mil","355.906mil","T","90.00","3.3uH, XAL7030-322MEC"
"R120","RESC1005N","2141.732mil","417.323mil","2141.732mil","417.323mil","2141.732mil","440.945mil","T","270.00","330, 1%"
"R121","RESC1005N","2106.299mil","1023.622mil","2106.299mil","1023.622mil","2129.921mil","1023.622mil","T","180.00","4.7k, 1%"
"R339","RESC1005N","795.275mil","1551.181mil","795.276mil","1551.181mil","818.898mil","1551.181mil","T","180.00","1k, 1% (DNP)"
"TP100","TP_SMT_38mil","3295.276mil","1425.197mil","3295.276mil","1425.197mil","3295.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP101","TP_SMT_38mil","3395.276mil","1425.197mil","3395.276mil","1425.197mil","3395.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP102","TP_SMT_38mil","3495.276mil","1425.197mil","3495.276mil","1425.197mil","3495.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP103","TP_SMT_38mil","3595.276mil","1425.197mil","3595.276mil","1425.197mil","3595.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP104","TP_SMT_38mil","3695.276mil","1425.197mil","3695.276mil","1425.197mil","3695.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP105","TP_SMT_38mil","3895.276mil","1425.197mil","3895.276mil","1425.197mil","3895.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP106","TP_SMT_38mil","3995.276mil","1425.197mil","3995.276mil","1425.197mil","3995.276mil","1425.197mil","T","90.00","38mil SMT pad"
"TP107","TP_SMT_38mil","3795.276mil","1425.197mil","3795.276mil","1425.197mil","3795.276mil","1425.197mil","T","90.00","38mil SMT pad"
"U302","ONSEMI_DFN5_5x6_1.27P","523.612mil","421.9mil","523.622mil","425.197mil","598.622mil","535.236mil","T","0.00","NTMFS4C35NT1G"
